SCC,SC,Total,Pro1-1,Pro1-2,Pro1-3,Pro2,Pro3
2320368,pvNnDtJqCv,297,17,13,13,19,2
2320369,xsNMekIehw,86,9,6,11,41,
2320370,SExuqBWFDA,180,6,2,5,30,3
2320371,TbafAYXWDn,104,11,2,6,8,1
2320372,cLurOBmcMp,253,,,,,
2320373,sdAPagnVcE,94,5,3,6,6,
2320374,ljnWCcoHxI,122,21,17,20,62,8
2320375,VfQwNjVOiV,199,11,13,27,36,3
2320377,OgGaMkXGrG,93,13,10,12,22,
2320378,NpAHyXrEJH,192,14,12,22,76,2
2320379,TClKhWxvEQ,159,6,8,5,7,
2320380,IJhmqGyowe,159,7,3,10,9,
2320381,joiFvqMRwC,120,10,10,14,36,
2320382,ZdoQTIpNNb,165,6,9,11,28,2
2320383,FlyKmlQhxQ,125,33,32,52,59,14
2320384,QaQFQXKlMS,68,,,,,
2320385,bTSqrnwATm,200,35,65,53,143,15
2320386,FzIPAhQtQI,63,11,,1,7,
2320388,EDNQEICkge,207,37,53,36,79,16
2320389,egbLLkYGWb,111,,,,,
2320390,HEQqnJWxYh,208,,,,,
2320391,ULJmifJExR,212,,,,,
2320392,sYNNQOUDZR,38,9,16,12,14,6
2320393,ajAaBDOSly,97,5,4,8,5,1
2320394,pzqpzPsoyl,92,15,9,7,14,
2320395,tPujCXtqom,111,,,,,
2320396,mxWmVaQxfJ,121,,,,,
2320397,JVfmnjDlzn,129,17,6,7,21,2
2320398,VJkukuGigC,98,7,7,13,17,4
2320399,hajMDtmiLX,199,30,39,38,61,4
2320400,efMaiJsfsS,90,,,,,
2320401,rthYLXHGHA,162,11,13,13,31,
2320402,oOMzzvCxSf,61,3,2,5,4,
2320403,SmMDVqNGzH,145,12,28,17,43,4
2320404,ZpfYyZlGuW,206,16,9,19,16,6
2320405,lDrwRPOmyJ,100,10,13,14,11,6
2320406,hbJsdXYpAS,169,18,16,16,50,6
2320407,ehHsWzFJAe,177,2,4,8,10,
2320408,JlluNffozX,85,6,2,2,5,1
2320409,DGfiQydyvv,120,16,10,18,41,1
2320410,mpDeeVwqNe,152,4,3,12,13,3
2320411,ncmjcpBYcz,121,,,,,
2320412,CdDRXhiFeG,63,,,,,
2320413,IWhMzJcsjj,307,20,19,29,71,3
2320414,pMCNdwcmOQ,51,9,8,7,14,4
2320415,hxasOrqnuZ,186,18,7,20,68,1
2320416,wbjUzBVrgl,146,19,11,7,59,
2320417,FBsOTjkHBi,182,10,9,21,23,2
2320418,nODeCSvmOe,252,24,20,18,66,1
2320419,cCitUmBNTH,195,7,5,7,22,
2320420,luuZrhxwMu,229,14,17,13,34,8
2320421,mThtXKNCyN,263,15,14,23,68,4
2320422,vCGcLIuZsO,212,11,9,6,12,2
2320423,QOVqDzFXDO,244,21,15,24,44,13
2320424,gdPfhumGYk,113,1,4,1,10,
2320425,WPochathez,1,1,1,1,1,1
2320427,ZzPUKAywIf,6,,,,,
2320428,HJNrORSWzq,1,,,,,
2320429,MyDeogPZgW,6,2,1,3,1,1
2320430,VQPntGZAJP,2,,,,,
2320440,CquucDLDGs,1,,,,,
2320441,BGdLLLwgNx,203,2,4,4,10,
2320442,YVysCwoSCg,163,7,5,7,8,1
2320443,rhfvifIsbc,152,5,8,4,17,
2320444,oXIGaPCAjN,108,3,3,,6,
2320445,mWHsNqonqU,2,,,,,
2320446,boNnCToOxp,1,,,,,
2320447,baqBysgmwr,117,13,13,7,26,1
2320448,IPaKSRoEGE,178,6,4,6,16,
2320449,MLVItCNcBE,140,6,6,9,5,
2320450,tPMzScLegJ,187,5,6,8,3,
2320451,IMsJeayZWh,258,,,,,
2320452,yrRUSXVeZp,180,6,5,14,14,
2320453,kWawcCPXNs,8,7,3,4,7,
2320455,MjdiibZNLQ,1,,,,1,
2330007,jFjzdUnUvD,94,,,,,
2330012,CykdXvTgod,65,,,,,
2330013,KrqtRcNgbn,37,,,,1,
2330016,iQqJjKWRXJ,83,,,,,
2330017,HUGMQsGvgd,23,2,1,1,5,
2330018,xSgNkJcdzB,257,7,9,13,27,8
2330019,skximpJZuR,32,7,5,3,7,1
2330028,yegDvXfHdt,71,24,22,23,25,9
2410001,quzNEzhHkB,135,3,2,3,2,
2420001,TiWfRZoZDI,81,2,3,2,16,1
2420002,wwtqCLQdsw,145,2,3,1,2,
2420003,lMBDakaUDY,41,2,,1,14,
2420004,FpXjpNLQSP,114,1,,4,7,
2420005,msfLcOaFtI,163,14,19,17,34,5
2420006,aGHNlqssJT,53,5,2,1,16,3
2420008,xeqkXBYdxB,135,14,10,12,78,7
2420010,ioiNNqvIQv,59,8,3,3,1,
2420011,KmfHaxjMIe,35,6,3,1,1,
2420012,iIrHIpCWoX,22,1,,4,8,
2420013,COvvczDXDa,16,,,,,
2420016,XaFmABbQYd,151,7,8,6,20,2
2420017,vnbkClLFSV,46,4,3,,10,1
2420019,EdERBnSNAL,100,17,14,14,22,6
2420020,opzQVzRLeQ,60,14,7,12,18,1
2420021,wIFzwEHupt,116,2,1,1,5,
2420022,ipoVZjfmDE,84,12,11,7,26,7
2420023,SWTyaEGzdj,176,8,7,10,16,5
2420025,pfKCjDSgPj,58,3,2,,8,2
2420026,UaPEmTfnII,137,1,,4,12,
2420027,gEIrxihOdl,89,5,5,4,8,
2420030,WUdSIQEhUo,7,1,,,,
2420031,FpYwRosiAT,61,2,4,8,15,5
2420032,qmaczHPPvI,49,1,2,2,8,1
2420033,plGoZybqSm,9,,,,1,
2420034,MvMsfyZFjb,7,,,,,
2420035,HpSfEdAegO,38,12,4,2,10,5
2420036,JChdStCyBC,52,1,4,4,7,2
2420037,YpBUWsLuEG,175,12,20,6,39,1
2420038,qhIjweavtG,174,10,6,7,15,
2420039,NakxFvyphI,2,,1,1,1,
2420041,TGnRNnFpRI,1,,,,,
2420042,XCPpRpjGWN,2,1,2,1,2,
2420043,JwBJPwVzKo,6,4,,1,2,
2420044,trTClEiPNY,7,,2,3,4,
2420045,oJfvsKaUUl,37,1,1,2,3,1
2420046,vCxHzwmRcZ,53,1,5,8,16,3
2420047,MiLeOxVyQV,103,10,10,4,2,1
2420048,yNItdHcjtp,189,11,2,3,20,
2420049,FheIOiwmJw,86,1,,8,15,2
2420050,HWdoTlUTik,156,54,77,71,65,17
2420051,qRnZJWNEng,106,5,10,15,38,3
2420052,apLOzbLtjh,123,23,30,28,23,1
2420053,RlkiEkdzlr,139,13,7,10,25,2
2420054,kUvzCyeqOE,116,17,19,31,30,4
2420055,bpLXzxTsBp,206,79,95,74,45,2
2420056,OPwiGWuWei,218,8,6,11,9,1
2420057,crpAdotAtw,147,5,3,16,19,2
2420058,SKljaAGOXB,21,1,,1,1,
2420059,oGPuiTKiTT,40,2,3,3,1,
2420060,gktMQHcAGq,3,,,2,1,
2420061,ocTCTWcnSq,115,7,6,8,23,1
2420066,tZoQOChsjA,3,,,,,
2420067,fUqVgazZLY,165,4,2,6,18,
2420068,rwNWCwiyYw,26,1,,,,
2420069,ZkEmaxzIDd,28,,,,1,
2420070,PZiVnXQjTs,81,5,6,7,22,1
2420071,OyJxBEXUTB,94,15,10,13,31,9
2420072,rntnOnQTDG,160,9,4,7,7,
2420073,JPiqzJjTyB,65,4,1,2,4,
2420074,qLdBYIoPTf,141,2,2,3,3,
2420075,tFicCaYjPj,210,11,9,12,11,
2420076,XLxCxFBFqP,209,23,19,16,28,1
2420077,duWoOoDJlS,50,3,,1,,
2420078,IfoCtLoGQY,90,1,1,3,2,
2420079,ZOIhfTAQLp,58,1,3,1,5,1
2420080,FXZkIciXpV,159,5,6,7,29,
2420081,xxGofvKHyL,88,2,1,4,5,
2420082,wSWfXOGlRv,196,13,11,19,16,5
2420083,JYuWqKtYkZ,161,7,4,4,11,
2420084,fiQeFGaiCG,150,8,6,8,48,2
2420085,gtFcpTuupZ,90,8,5,9,8,1
2420086,OPBNRouaix,71,4,2,7,7,
2420087,lRUcHijmil,116,4,2,6,13,1
2420088,WlJhcHRule,80,4,1,3,,
2420090,rcjBIjCDRs,52,,1,2,2,
2420094,esFgpGElks,60,5,1,3,38,2
2420096,SXYySPvisZ,17,3,1,,2,
2420097,BuxNPhQaci,137,10,15,7,37,4
2420101,dWzNgcZMja,119,12,10,7,24,5
2420102,wbEVRpmpJk,159,3,5,8,17,1
2420103,SpVlhUglvf,225,9,10,6,19,
2420104,wCJKbjsKiK,142,7,3,2,9,2
2420105,FUrEGCpTsQ,157,14,18,16,65,4
2420107,IRAEjbMVLt,221,10,20,10,35,4
2420108,WEZcGFXgcp,113,7,5,5,2,
2420109,uRcgzzPSjn,88,6,6,10,38,5
2420110,yDRBBRSslr,19,3,2,2,3,2
2420111,TDTQZhDqMT,36,11,8,12,20,2
2420112,WpcmnmvWNV,125,12,13,19,82,2
2420114,KTOHzcRGFQ,42,1,,1,4,
2420116,fwMfujAzEH,25,,,,1,
2420119,VlYJfqJrDA,10,4,3,2,6,
2420120,mNnNiHVufT,58,7,3,5,17,
2420121,JiEOEcvdKp,159,9,6,8,12,5
2420122,YpWxMRuOXO,28,1,2,,6,2
2420124,WxplYfVdvc,2,,1,1,2,2
2420125,wKuBOytRVk,14,3,,,2,
2420126,HIoZhuxozq,72,7,13,10,38,2
2420127,HtVqSwWJcl,15,1,1,2,1,
2420128,dNsDmwIczf,134,6,6,6,19,3
2420129,QuimQysIuq,165,23,12,10,22,5
2420130,KoPWFySNho,6,,,1,,
2420131,AdQXNUURzt,110,4,3,1,4,
2420132,cdhgoHYjml,170,9,10,11,23,5
2420133,zhcfwyQXvZ,160,4,5,1,10,1
2420134,jqDIofQUoE,151,4,13,11,33,4
2420135,VrttyUJwvp,189,2,3,9,10,
2420136,RVDaZYIbEs,69,9,9,10,10,
2420137,lHUBlGOddO,36,1,1,1,4,1
2420138,luxlZTIRZN,94,13,11,12,23,6
2420139,ocvLJiJmdv,124,16,15,15,34,7
2420140,AchqwIUgHo,167,4,6,9,19,
2420141,eXnylmbYZn,85,3,4,5,8,
2420142,XBTidNGmeq,40,7,2,1,2,
2420143,CITRxnynOp,125,2,2,2,9,1
2420144,eNwmamCUqZ,107,3,10,8,28,5
2420145,yfjNHjiNPP,71,2,9,7,12,1
2420146,LXfQslfOGN,21,,,,3,
2420148,PGtxksSwCG,91,,7,4,5,
2420149,FrmbvSmDAf,66,6,5,7,44,3
2420150,MrEMmEZWqa,123,18,17,13,30,6
2420151,PNDkXMZzqc,84,,,2,,
2420152,AvfHfWwvsI,28,7,5,7,7,
2420154,BWUnhWJjFj,23,8,2,1,6,
2420156,CBxRuhQwdY,113,5,8,4,6,
2420157,xQwsqINGfW,2,,1,,,
2420158,dMJPwpIxWp,99,2,7,3,5,
2420159,nmNMYiOtwS,127,3,1,1,9,
2420160,gHLqcbhoUE,94,4,1,4,9,1
2420161,FcmyfszStv,161,11,7,7,29,
2420162,ShIhGkvYAm,123,6,9,6,23,
2420163,pSvjvQgTyV,195,34,28,20,76,15
2420164,cmBnGqGHDg,48,,,1,1,
2420165,LTCWfDUyEo,150,3,1,4,5,
2420166,kefJDMmCcE,243,41,28,13,83,6
2420167,aLdSXfZswg,165,5,8,10,23,
2420168,JxPUYWfUAC,208,30,15,13,82,7
2420169,vWIGaTxRzk,134,6,7,3,51,2
2420170,nZTLCyqEuQ,133,7,2,4,14,1
2420171,YPifEGPHUD,305,30,28,24,59,5
2420172,WHFOKOsmZZ,156,14,17,11,16,5
2420173,iWLbgNmvyQ,139,10,8,11,43,1
2420174,vYoJxJOUib,94,9,7,9,44,1
2420177,cmkpKVZMIc,96,6,6,5,37,9
2420178,nNzhlORcHz,1,,,,,
2420179,xvUvNlAbid,33,,1,1,,
2420183,TnVccbUjUc,6,,,,,
2420184,AZyVUcWdtA,73,3,4,1,3,
2420185,XBMjoBGlaj,38,2,4,6,12,
2420186,iJzwYQdeAW,65,7,3,9,11,
2420189,lHTqNYeJXe,96,2,3,7,8,1
2420190,liGWERsyfC,28,1,1,2,3,1
2420192,PSPPvCRMHW,78,6,4,1,13,2
2430001,AdAQibNrzU,68,1,1,3,5,
2430002,LLjuxpkFsZ,44,9,5,5,10,3
2430003,ADFmNtdBmW,30,1,2,,2,
2430005,voOsCtjAeD,16,,,,,
2430006,vjbzCjVRPm,32,,,,,
2430007,QsZVvdLFIQ,197,2,3,3,3,
2430008,tjqqQiLJNf,62,,,,,
2430009,Nidczusikl,110,9,7,7,11,6
2510001,aWcuBvonnP,116,2,2,2,3,
2520001,cWVhGKDhPZ,117,12,11,14,41,5
2520002,yycNIlpirX,80,17,10,13,37,5
2520003,hCuAPChkXC,116,7,10,11,15,1
2520004,wLLRrNBOYx,144,17,8,11,14,2
2520005,CCSwKgGItx,183,23,15,11,15,
2520006,EzyNHOfvqw,157,34,35,31,65,12
2520007,XeAsNUFJli,343,57,34,32,56,14
2520008,yOcwFHyeRt,202,26,9,16,20,1
2520009,aQOCyDkels,130,41,25,18,58,6
2520010,NFKqDiHaMU,99,12,8,12,6,
2520011,deaMebBKII,157,8,2,3,9,
2520012,BteonFMfwq,93,17,7,2,55,1
2520013,KmfrDMXLwM,92,6,4,5,5,
2520014,DOvdnuWwPr,107,3,4,2,5,
2520015,jEECLBgwVs,40,2,,,1,
2520016,moorxPhiJa,69,6,4,5,13,1
2520017,ucCTNynabA,170,16,15,22,25,1
2520018,YNjnNQCacZ,142,17,7,15,37,1
2520019,IgvqEMYSeQ,73,12,8,3,4,2
2520020,ADiNFfbIxn,230,42,26,31,32,10
2520021,XIysTxUdQK,55,3,1,4,7,
2520022,nRCBvKhRGA,55,10,5,6,8,
2520023,bgNogZRjmH,82,6,6,4,10,2
2520024,BqxNJgUoCh,42,5,6,7,13,2
2520025,NacJlApTbe,84,15,5,2,11,
2520026,qrZLQVIYMj,13,2,2,3,3,1
2520027,GbUICwbmTF,102,14,9,13,16,4
2520028,zUafFzWOyN,52,7,9,4,13,5
2520029,vGPBbJNSaS,89,8,6,2,14,6
2520030,iuNKvtuCAS,75,16,5,10,23,2
2520032,eWaqPLWUBQ,2,1,2,2,2,
2520034,ZqQtHOCcYb,1,1,1,1,1,
2520035,VVsbDdvTKF,7,,,,,
2520036,LeZghIhgkX,202,19,16,10,37,8
2520037,INuRywRVZP,339,36,20,25,52,10
2520038,aPNlsdRkMD,146,19,12,12,24,3
2520039,fNniDrPwaF,161,7,2,11,18,
2520040,RPJwtlWySD,32,,1,2,4,
2520041,XKVLkbHPXR,165,25,13,19,53,
2520042,LHHopBXghi,283,66,31,30,93,10
2520043,ORaLRfGHOR,122,27,17,21,54,4
2520044,EdTQcAGich,116,11,10,12,49,1
2520045,gFheNcyhRG,253,43,31,36,106,5
2520046,mtNjQCqKib,155,30,16,17,44,
2520047,wcrHWFzTjh,54,6,5,5,14,2
2520048,vAgMCHeBcQ,153,8,5,10,23,2
2520049,TbtJahewWC,13,2,2,2,1,
2520050,ituxuuwetc,4,1,,,,
2520051,rqtBIhVdWT,173,16,12,8,35,6
2520052,MVBwOFsRgR,127,27,15,26,63,11
2520053,fmNozyHTUE,213,18,13,20,69,3
2520054,shoDLZLbRI,190,35,12,23,36,9
2520055,MKElGpebXo,82,8,3,7,4,
2520056,fGmxqsqMIi,241,39,18,35,79,5
2520057,UcYEvvkQFZ,318,30,22,25,60,1
2520058,VQmYVWdgqn,162,7,4,9,27,1
2520059,MGtTrRrEkC,79,12,6,10,10,1
2520060,uFKZnpQnqG,248,18,12,12,43,4
2520061,QwLdrtcWCg,74,12,9,19,37,1
2520062,oaTTHhcSCz,141,3,7,9,12,3
2520063,rPLCkwmLrm,149,24,18,22,43,8
2520064,HszVeKUJuq,213,55,11,19,35,3
2520065,UfZbxjECSs,126,17,7,15,38,5
2520066,CVkIsXRDcP,71,2,1,3,23,1
2520067,WjvjrhXKhV,175,2,1,3,4,1
2520068,mhLjNYLmSR,156,12,9,2,17,4
2520069,oHzbMLaTri,85,5,1,1,1,
2520070,uoKwUxDWQp,109,8,3,8,30,4
2520071,FUgNaGDYOs,204,5,3,5,13,2
2520072,rHeuYspaLS,30,,,1,,
2520073,uYkQrKSAVa,40,10,3,8,6,1
2520074,lEirhOEjVW,103,18,7,13,15,3
2520075,BbbqgqhEVi,103,14,13,13,16,3
2520076,yniLmVGVyr,93,6,6,4,11,1
2520077,XqkWGZGqOx,209,18,15,18,43,4
2520078,kojPmjnbDv,65,2,3,2,4,2
2520079,fqBiDcHWtr,154,14,9,13,50,3
2520080,jCCmIEZAGW,201,8,2,5,14,
2520081,zPlvSovVwy,176,39,25,35,102,13
2520082,mfEXokKsoF,98,5,2,2,17,
2520083,tesoTodjyp,109,2,2,4,6,
2520084,xtUSQkzuYY,137,5,8,7,7,1
2520085,SqOlfuYCQU,24,2,3,2,2,2
2520086,IMgnakKJJO,217,13,5,16,32,
2520087,rQqeUidcig,222,17,9,10,30,5
2520088,ScPppyWLJl,127,52,9,12,31,5
2520089,jyMbEGfgiL,54,,2,1,2,
2520090,edFJtDNTwb,26,6,3,3,4,2
2520091,ESNdobiVVO,88,8,2,1,9,1
2520092,yaEjAJQYLB,91,7,12,8,24,6
2520094,hmOljvceWW,22,1,2,6,12,3
2520095,rECNIbZcDy,48,13,8,10,19,6
2520096,MeawbYlrjY,67,12,2,1,8,
2520097,ZtyfxuQnpw,2,1,2,1,,
2520098,VHSwheaNuK,34,2,1,1,6,2
2520099,IWjaInDvin,109,25,26,14,64,13
2520100,MrTuDAHNFv,172,45,25,35,61,8
2520102,ZtuUmVyEaw,75,,1,4,8,
2520103,NaLDuKuDAW,188,33,27,30,78,5
2520104,GzfZDtCjTW,76,2,1,,1,
2520105,LwkQbrBsaX,75,2,2,,9,
2520106,lPVJjnzIDP,21,,,,2,
2530002,aZHxzsquJp,28,3,1,,2,
2530003,LdieJrxncs,82,2,,2,1,
2530004,VMbttLNisN,144,,,,,
2530005,otngGkIbaR,72,2,1,,3,
2530007,CujpcyOPLy,31,2,,1,3,
2530008,YsQqXHWiFM,54,,,,,
2610001,OhuDxLezrH,86,,,1,4,
2610002,AsPNhRRBTG,131,6,1,2,2,
2620001,JtVFWnRPbn,166,16,9,11,17,2
2620002,yjgyprUkVL,17,,,,,
2620003,lZxkZUXPUb,3,,,,,
2620004,GaThYKtSAs,20,,1,,3,
2620005,xiiMMHgGxX,12,,,,,
2620006,SiTthrDfcU,23,1,,,,
2620007,snyPpkwogh,6,,,1,2,
2620009,dDufjoZSPC,54,3,2,6,32,3
2620010,mikKYremdc,159,18,11,11,24,8
2620011,ynNJwQijre,168,13,8,22,31,3
2620012,haatCKlWKW,157,21,8,26,53,7
2620013,dqNztSmeLs,91,22,9,19,32,4
2620014,RvFlhWrIYS,206,52,39,45,114,18
2620015,lFXZoEuqPw,57,2,,4,1,
2620016,NFmYPmpxrg,159,12,3,14,34,6
2620017,asaUPwtORy,263,22,15,11,54,4
2620018,WDFigSYBuu,83,2,3,7,8,
2620019,uUrvQntFhb,72,9,1,9,22,2
2620020,NbQIJZtrAq,92,5,4,6,7,1
2620021,BGOiRqmfDa,22,,,,1,
2620022,oEvtLJuAZj,29,2,3,1,17,3
2620023,xRpvmSsAhR,156,7,6,14,31,1
2620024,yDgPImlpWB,25,2,1,2,22,
2620025,yeRpYOOLtD,85,2,7,1,8,
2620026,kqgqcImIBq,112,,,,,
2620027,JIIuiyEdLO,218,21,6,12,14,1
2620028,FHtkjNAVJp,85,19,4,5,14,1
2620029,pJCVirnyRM,9,,,,,
2620030,rntHNziKxR,136,9,10,26,42,7
2620031,YFGvflpkqI,78,12,4,5,19,2
2620032,ExWHUZRRpE,16,1,1,,1,
2620038,FmOTRVnDEB,58,2,2,1,18,1
2620040,gMmAwDqSyz,88,5,4,5,23,
2620041,KFEkbwqQFe,101,12,10,18,61,4
2620042,RMQbqybLMx,109,17,12,11,49,9
2620043,ZyBDgOLSKA,40,7,7,5,23,3
2620044,iietIIwxDR,47,8,10,8,22,2
2620045,lFxRmuMjmA,32,,,,,
2620046,PJYGppgoza,16,1,1,1,1,
2620047,ogTvxJlYIA,227,13,12,12,37,2
2620048,VijhZyrrBQ,237,11,10,13,30,
2620049,kDyjqFLXLK,100,19,17,27,43,12
2620050,SqibgUsvAn,232,3,8,3,15,
2620051,gwceEPOson,128,2,3,10,10,
2620052,ZXPpEqeMgF,79,4,5,4,9,
2620053,BdYvSqYRcV,141,6,11,13,26,3
2620055,CfBuPqrHPa,49,2,3,3,2,
2620057,fMMzUTbdcT,74,5,,3,13,
2620058,hsWOJutSkh,181,10,5,10,6,
2620059,GLKhKtArXC,112,4,3,6,4,1
2620060,XhTkrKumzr,164,3,8,10,15,
2620061,DTvNwySnZM,59,1,1,2,2,
2620062,bHJYpsPWSX,134,24,8,8,48,2
2620063,qFjVAQtmlE,5,2,2,,4,
2620065,DVtCJSbMmQ,162,21,12,15,26,4
2620066,zpQtemCnhf,172,8,2,16,3,
2620067,MfJNcFZqkx,147,10,9,19,51,2
2620068,ZBeYTpbDkg,90,1,2,2,2,
2620069,rOqyFRQFDl,60,4,1,2,1,
2620070,RABcEWHZbN,97,13,11,23,25,3
2620071,gZNMvvtNBq,188,5,4,4,17,
2620072,xnvBFAHdDQ,234,2,2,3,15,
2620073,PuKayalMTz,65,2,,,5,1
2620074,ayxyXxftnq,97,7,5,8,23,
2620075,hcZHClAMED,69,7,4,3,3,1
2620076,UjbREvSZma,68,15,4,5,13,1
2620077,RxBZvbLcVL,14,,,,,
2620078,ktsOnQKtim,183,7,6,10,23,1
2620079,loItcpfTzz,171,15,13,21,53,6
2620080,EiQyZQFnIi,92,5,3,3,30,
2620081,pfOypwpyYf,144,9,6,9,14,1
2620082,WJEHHlDgxV,93,3,5,5,5,1
2620083,yfCSSjNqJL,44,,2,1,7,
2620084,iLUtaNfLXh,185,7,4,3,13,
2620085,iFQVwzqZlm,134,23,14,15,45,3
2620086,zOBeWcJUYd,74,6,3,1,2,
2620088,gEPtbWSCHD,169,1,7,7,35,1
2620089,zNRNaIZvbw,71,9,4,5,27,
2620090,tHPssByexB,157,3,2,5,18,
2620091,sjJjVGIEGM,150,,,,,
2620092,sSsYUrbETP,116,7,3,2,4,1
2620093,hsxhIiGJyh,328,9,11,16,9,1
2620095,OwviQjubKe,127,6,4,9,33,
2620096,nSGgfEQRHO,119,14,16,14,36,6
2620097,HVuPlEEQMF,179,7,9,13,36,5
2620098,JuRPIppQPs,212,18,5,13,23,2
2620099,WdMzqBrwMk,117,1,2,,3,
2620100,qcbysHIlgb,60,18,9,7,13,2
2620101,dsBdZwaEef,150,5,2,3,16,1
2620102,AqYGboCIAK,204,2,3,2,3,1
2620103,ydOfDxXbxB,7,,,,,
2620104,fpHsWoOoRo,72,12,3,12,19,
2620105,XhYhSYpDtu,152,32,8,10,26,3
2620106,hOusRdXvOJ,91,3,2,2,4,
2620107,qjJtmrqmFJ,90,5,6,6,5,
2620108,sLdGlWGEaw,85,,1,1,,
2620109,gBkyubuOPz,52,1,1,2,3,
2620110,IRHxnnBzni,2,,1,,,
2620111,ATkASgiTHC,186,18,13,13,8,5
2620112,RNHyWbxmLU,7,3,1,1,1,
2620113,fHVgjcqZzW,72,3,5,5,13,1
2620114,FUSoKeBwcS,270,21,18,13,26,3
2620116,ykNOhpYNNF,80,1,1,5,5,
2620117,iErharVwFh,129,4,5,5,6,1
2620119,ZNexnsTkXW,88,8,2,5,9,4
2620120,nsZUkdkmAo,201,20,22,26,47,3
2620121,kWFOzfkJpx,94,1,4,4,6,
2620123,ZbfNmupcYA,70,3,9,12,14,1
2620124,yMEaVpFzTh,90,,,,,
2620126,GgvVzFzEBz,213,39,14,13,71,4
2620127,RusvcOsEwA,6,5,5,5,5,3
2620128,AXDCMxZMcC,262,13,6,16,17,1
2620129,uXAsBmEYmF,120,2,10,11,18,1
2620130,oqcZIrprPw,1,1,,,1,
2620134,HoMulkKJZj,75,,,,3,
2620135,oCbIDrekps,2,,,,,
2620136,thbDJUPSdN,168,11,8,9,24,1
2620137,jFKRbnclVB,197,10,8,21,33,5
2620138,YcobBfvsrK,128,11,4,4,18,1
2620139,VUlKhJdqpe,68,3,5,2,20,2
2620140,jLFoeemeVd,116,9,6,10,33,3
2620141,QGsOtbSBJu,102,3,5,2,7,1
2620142,sffVRZqIOq,122,12,7,9,17,1
2620143,OYLKhwfBeu,131,17,14,25,60,6
2620144,CbMKDnmsKc,92,4,2,2,6,1
2620145,WiRuimabTr,160,7,6,5,26,1
2620146,tDwqSsXWwE,131,,,,,
2620147,uiLeVWYjPX,46,5,1,2,1,
2620148,LiHoxCIeoG,137,2,3,5,16,
2620149,ZjTNTjDFYh,210,8,10,7,22,
2620150,wPIsZNSfam,132,15,10,10,24,6
2620151,jJseEnZgTf,131,7,4,7,14,1
2620152,FyQTdQZVxr,162,2,3,3,17,
2620153,ugnsZtyBPo,24,,1,2,3,
2620154,owgyCwyOpp,51,,,2,8,
2620155,QHoKhrXZZJ,9,,1,,,
2620156,brLMQmWfNY,190,16,11,16,17,
2620157,aqtbgeWgYw,139,22,14,13,9,2
2620158,KwobyoXMSq,106,16,8,6,2,4
2620159,KXyZJJRNpG,103,4,7,5,4,
2620161,NSevgQHQTn,45,9,4,6,24,5
2620162,nXLYfMMwUx,142,7,8,9,17,3
2620163,fMeniSOxMi,137,9,4,6,11,2
2620164,MkWjRUheCz,144,1,2,1,3,1
2620165,xPlTSzBtOv,145,13,5,3,4,
2620167,hvVjkgpfTo,40,2,3,2,8,1
2620168,qJSAUdqiWw,10,1,1,1,2,1
2620169,jbokZnhnZt,80,27,3,16,40,3
2620170,OZBqcnkyQz,28,,,,1,
2620171,dzCWtOLUFg,27,1,,,2,1
2620172,NVYqLTHpzN,68,6,6,12,22,3
2620173,blYnRIxZdw,154,22,12,9,51,8
2620174,VFhUiwRKJW,202,10,11,6,21,2
2620176,qdzLBIfsCA,14,2,1,1,1,
2620177,BNYmjYuIcd,60,1,1,1,2,1
2620178,cNHgKIfQAC,186,4,4,6,12,1
2620179,sMtOTaGJSP,159,9,11,12,63,1
2620180,PzMPkBaozK,76,5,,2,11,1
2620181,eQkqONKifw,63,5,,2,2,
2620182,qYlFmyxshN,92,3,3,1,34,1
2620183,OKcMFFmyls,24,3,4,8,16,4
2620184,hWsWVAOfwv,194,13,13,9,25,2
2620185,CqPMdZjISq,1,,,,1,
2620187,uiMqStztrh,36,,,,,
2620189,ACTgfrMzwr,80,9,9,10,41,2
2620190,SBKseWvnca,13,1,,,,
2620191,AKpvvrJPCY,239,10,10,19,27,2
2620192,CYHISdLBgL,62,2,1,2,4,
2620195,ovhjRjhtTT,34,3,3,1,6,
2620197,OdHPZPMYft,136,5,1,9,8,1
2620199,YqVDcGJtBH,37,,,,,
2630001,RslZgyENmd,73,1,1,3,1,
2630002,XCYjWPawnk,9,,,,1,
2630004,CEZPloeRrJ,48,7,3,3,4,2
2630005,FamhypyMIU,38,,1,,2,
2630006,fPKBopigzV,43,1,,2,6,
2630007,xxsgOmRWhj,9,2,1,2,2,3
2630009,VIeGXDxqiZ,44,2,2,3,2,
2630013,rzsFETpbgd,159,7,3,9,7,3
2630015,ezuWOfAQDc,221,,,,,
2630016,khEmeLTYZz,236,2,3,1,6,1
2630019,lBCWioVQvU,65,,,,,
2630020,oVYZuoIvKj,97,6,5,2,6,
2630021,UbOlruVVFM,94,,,,,
2630024,eDhETyKSar,163,,,,,
2630029,bcqOEhWnXS,138,,,,,
2630032,tOTBuETrpY,239,1,,2,13,
2630033,SuWzEoTCph,96,7,2,2,12,
2710001,eQSZBixuyo,161,4,1,,1,
2710002,PcogSVWXol,157,,1,,1,
2710003,GPuXLfOIfM,118,3,,1,,
2720001,XAHabXFuWX,81,3,2,3,7,1
2720002,smCixHlMGp,153,15,17,6,23,1
2720003,aIWNtYVxRL,170,20,19,13,26,4
